invoice_number,vendor_name,vendor_tax_id,vendor_country_code,issue_date,due_date,currency,amount_gross,amount_net,amount_vat,vat_rate,status,payment_date
INV-2024-0001,Iberia Tech Solutions,ESB12345678,ES,2024-06-10,2024-07-25,USD,1586.72,1455.71,131.01,9.0,cancelled,
INV-2024-0002,ACME Consulting,NL123456789B01,NL,2024-04-02,2024-05-17,USD,2628.95,2628.95,0.0,0.0,cancelled,
INV-2024-0003,Green Office Supplies,DE123456789,DE,2024-04-22,2024-06-06,USD,873.46,801.34,72.12,9.0,paid,2024-06-19
INV-2024-0004,Green Office Supplies,DE123456789,DE,2024-04-12,2024-05-27,EUR,4865.47,4865.47,0.0,0.0,paid,2024-05-22
INV-2024-0005,Atlantic Travel,GB123456789,GB,2024-06-20,2024-07-04,EUR,4752.24,4359.85,392.39,9.0,unpaid,
INV-2024-0006,ACME Consulting,NL123456789B01,NL,2024-04-17,2024-05-17,EUR,1932.44,1772.88,159.56,9.0,paid,2024-05-25
INV-2024-0007,Iberia Tech Solutions,ESB12345678,ES,2024-06-17,2024-08-01,EUR,3358.08,2775.27,582.81,21.0,paid,2024-08-21
INV-2024-0008,Nordic Cloud AB,SE5566778899,SE,2024-06-09,2024-07-09,EUR,1019.44,935.27,84.17,9.0,unpaid,
INV-2024-0009,Nordic Cloud AB,SE5566778899,SE,2024-03-11,2024-04-10,USD,650.17,596.49,53.68,9.0,paid,2024-04-07
INV-2024-0010,ACME Consulting,NL123456789B01,NL,2024-06-02,2024-07-17,EUR,1670.91,1670.91,0.0,0.0,unpaid,
INV-2024-0011,Atlantic Travel,GB123456789,GB,2024-01-02,2024-01-16,USD,4019.97,4019.97,0.0,0.0,unpaid,
INV-2024-0012,Iberia Tech Solutions,ESB12345678,ES,2024-05-07,2024-06-21,EUR,976.07,976.07,0.0,0.0,paid,2024-06-25
INV-2024-0013,Iberia Tech Solutions,ESB12345678,ES,2024-06-29,2024-07-29,EUR,4642.32,4259.01,383.31,9.0,cancelled,
INV-2024-0014,Green Office Supplies,DE123456789,DE,2024-02-15,2024-02-29,EUR,3072.76,2539.47,533.29,21.0,paid,2024-02-29
INV-2024-0015,ACME Consulting,NL123456789B01,NL,2024-04-26,2024-06-10,USD,1920.71,1762.12,158.59,9.0,unpaid,
INV-2024-0016,Iberia Tech Solutions,ESB12345678,ES,2024-02-20,2024-04-05,USD,442.4,405.87,36.53,9.0,cancelled,
INV-2024-0017,Atlantic Travel,GB123456789,GB,2024-02-02,2024-02-16,USD,3245.84,2682.51,563.33,21.0,cancelled,
INV-2024-0018,Nordic Cloud AB,SE5566778899,SE,2024-03-17,2024-03-31,EUR,494.06,453.27,40.79,9.0,cancelled,
INV-2024-0019,Green Office Supplies,DE123456789,DE,2024-01-10,2024-01-24,USD,1998.66,1833.63,165.03,9.0,paid,2024-02-06
INV-2024-0020,Nordic Cloud AB,SE5566778899,SE,2024-04-14,2024-04-28,EUR,4318.56,3569.06,749.5,21.0,cancelled,
INV-2024-0021,Nordic Cloud AB,SE5566778899,SE,2024-06-08,2024-07-08,EUR,484.74,484.74,0.0,0.0,unpaid,
INV-2024-0022,Iberia Tech Solutions,ESB12345678,ES,2024-01-06,2024-02-20,EUR,1574.99,1301.64,273.35,21.0,cancelled,
INV-2024-0023,Iberia Tech Solutions,ESB12345678,ES,2024-03-19,2024-04-02,EUR,2398.72,1982.41,416.31,21.0,cancelled,
INV-2024-0024,ACME Consulting,NL123456789B01,NL,2024-01-07,2024-01-21,EUR,1586.16,1586.16,0.0,0.0,unpaid,
INV-2024-0025,ACME Consulting,NL123456789B01,NL,2024-04-07,2024-05-22,EUR,1044.87,1044.87,0.0,0.0,paid,2024-06-07
INV-2024-0026,Iberia Tech Solutions,ESB12345678,ES,2024-01-12,2024-02-26,EUR,1136.6,939.34,197.26,21.0,paid,2024-03-17
INV-2024-0027,Green Office Supplies,DE123456789,DE,2024-02-12,2024-03-13,EUR,1982.18,1638.17,344.01,21.0,paid,2024-03-27
INV-2024-0028,Iberia Tech Solutions,ESB12345678,ES,2024-06-22,2024-07-22,EUR,3474.89,3187.97,286.92,9.0,cancelled,
INV-2024-0029,Atlantic Travel,GB123456789,GB,2024-05-21,2024-06-20,EUR,2540.97,2099.98,440.99,21.0,paid,2024-06-24
INV-2024-0030,Atlantic Travel,GB123456789,GB,2024-02-22,2024-03-23,EUR,1069.39,883.79,185.6,21.0,unpaid,
INV-2024-0031,Green Office Supplies,DE123456789,DE,2024-05-18,2024-07-02,EUR,4913.52,4507.82,405.7,9.0,unpaid,
